Latency,Length of Numbers
0.11494562501320615,1000
0.10029595799278468,999
0.08295254199765623,998
0.09236954199150205,997
0.09153454098850489,996
0.08341150003252551,995
0.08116204099496827,994
0.10234266601037234,993
0.2048380000051111,992
0.09774620900861919,991
0.09124629199504852,990
0.08556262496858835,989
0.08472250000340864,988
0.08954512502532452,987
0.0832912499899976,986
0.0861989589757286,985
0.09401470801094547,984
0.08959916594903916,983
0.15671479102456942,982
0.08704562502680346,981
0.08326858404325321,980
0.10558600001968443,979
0.0780649579828605,978
0.08106154203414917,977
0.08833966701058671,976
0.0837508330005221,975
0.08509266702458262,974
0.08968091697897762,973
0.08508833299856633,972
0.08164041599957272,971
0.0899512919713743,970
0.11712329095462337,969
0.09018504101550207,968
0.09363083296921104,967
0.08122649998404086,966
0.08430950000183657,965
0.09992629202315584,964
0.09703595895553008,963
0.10890745802316815,962
0.15422412496991456,961
0.08235087501816452,960
0.0856068329885602,959
0.23902341700159013,958
0.08319579198723659,957
0.11803499999223277,956
0.09149970795260742,955
0.09122058300999925,954
0.127684417006094,953
0.10836195800220594,952
0.07958695798879489,951
0.09273495798697695,950
0.09354770800564438,949
0.0887211249792017,948
0.08357804198749363,947
0.11973766703158617,946
0.08629841700894758,945
0.1119122090167366,944
0.09747608401812613,943
0.0916232910240069,942
0.08896604203619063,941
0.09311874996637926,940
0.08329279202735052,939
0.10236579203046858,938
0.09449649997986853,937
0.09176366601604968,936
0.08313062501838431,935
0.10308966599404812,934
0.101366541988682,933
0.08820345799904317,932
0.08802850003121421,931
0.09510879195295274,930
0.09212008299073204,929
0.10241420904640108,928
0.09643795795273036,927
0.10946966602932662,926
0.09931433398742229,925
0.09045458398759365,924
0.10349750000750646,923
0.0942720840102993,922
0.08450733299832791,921
0.08463395800208673,920
0.09235095797339454,919
0.08523349999450147,918
0.08278158301254734,917
0.08531112503260374,916
0.09925429202849045,915
0.09335550002288073,914
0.08183408295735717,913
0.10006987501401454,912
0.11263512499863282,911
0.086526416009292,910
0.11564037500647828,909
0.08336829202016816,908
0.08739870804129168,907
0.07884137501241639,906
0.0917769999941811,905
0.08196845900965855,904
0.09340145898750052,903
0.08387054095510393,902
0.08732783299637958,901
0.08496025000931695,900
0.08471724996343255,899
0.094986375013832,898
0.09507104102522135,897
0.08368525002151728,896
0.08235737500945106,895
0.09115254099015146,894
0.08222616696730256,893
0.0941691659973003,892
0.09333916596369818,891
0.10051700001349673,890
0.08200079196831211,889
0.09142995899310336,888
0.09070970898028463,887
0.08874774997821078,886
0.2565681670093909,885
0.10472845798358321,884
0.08779904199764132,883
0.0767148329759948,882
0.08172137499786913,881
0.08328391599934548,880
0.08004425000399351,879
0.08644808299141005,878
0.08790470805251971,877
0.1230712910182774,876
0.08679216599557549,875
0.0786019999650307,874
0.11641075002262369,873
0.08535874995868653,872
0.08526662498479709,871
0.08640699996612966,870
0.08543887501582503,869
0.08453366701724008,868
0.11394358397228643,867
0.09377454197965562,866
0.10920091700972989,865
0.14802987495204434,864
0.07912424998357892,863
0.07687350001651794,862
0.08535483299056068,861
0.08925829199142754,860
0.09258212498389184,859
0.11701683298451826,858
0.09668825002154335,857
0.1378533749957569,856
0.08045158302411437,855
0.08247545902850106,854
0.1002749580075033,853
0.09052404202520847,852
0.0846029999665916,851
0.08532083401223645,850
0.08554529101820663,849
0.07894687500083819,848
0.09200358303496614,847
0.10544100002152845,846
0.08222516597015783,845
0.08539299998665228,844
0.086215625051409,843
0.09422529197763652,842
0.08461658394662663,841
0.11241241602692753,840
0.08851404197048396,839
0.10984537500189617,838
0.09060004202183336,837
0.1031757090240717,836
0.09517254104139283,835
0.08221062499796972,834
0.08499595802277327,833
0.1069050410296768,832
0.09812766697723418,831
0.0883462080382742,830
0.09817675000522286,829
0.09371983300661668,828
0.09486816701246426,827
0.0801146249868907,826
0.07909237500280142,825
0.09039404202485457,824
0.08824812498642132,823
0.08604166604345664,822
0.10350475000450388,821
0.11147041595540941,820
0.11189020803431049,819
0.08654049999313429,818
0.08255891699809581,817
0.09417341696098447,816
0.09479370899498463,815
0.08949124999344349,814
0.08339458296541125,813
0.09642595803597942,812
0.09434304101159796,811
0.08788991696201265,810
0.08873433398548514,809
0.1054252500180155,808
0.1027975829783827,807
0.09306666598422453,806
0.08510491700144485,805
0.07860200002323836,804
0.07940012501785532,803
0.09220462501980364,802
0.11308879096759483,801
0.0853922909591347,800
0.09037004201672971,799
0.09266737499274313,798
0.09305012499680743,797
0.08886141696712002,796
0.07875945797422901,795
0.08151566697051749,794
0.08286216703709215,793
0.09363004198530689,792
0.09032866696361452,791
0.0804897079942748,790
0.08497887500561774,789
0.08514362503774464,788
0.08238062495365739,787
0.09703612502198666,786
0.08865270804380998,785
0.09363924997160211,784
0.0851365000125952,783
0.08438791701337323,782
0.10873583302600309,781
0.08099874999606982,780
0.09294508403399959,779
0.08862462500110269,778
0.10055291600292549,777
0.08228754095034674,776
0.08062820800114423,775
0.08701999997720122,774
0.09250745899043977,773
0.08524016599403694,772
0.08661387499887496,771
0.08460779202869162,770
0.08580470795277506,769
0.08331158297369257,768
0.08527541696093976,767
0.09152475005248562,766
0.08602649997919798,765
0.08457275002729148,764
0.14774774998659268,763
0.09196529199834913,762
0.09053912502713501,761
0.08553966699400917,760
0.10201979201519862,759
0.10355845798039809,758
0.08346379199065268,757
0.12314954196335748,756
0.08130416600033641,755
0.0922320419922471,754
0.08163283299654722,753
0.09750004101078957,752
0.08237229200312868,751
0.08585366699844599,750
0.08044570800848305,749
0.10107383399736136,748
0.08010250004008412,747
0.08831312495749444,746
0.09690595796564594,745
0.08716979197924957,744
0.10503833397524431,743
0.09253079100744799,742
0.09437795798294246,741
0.09034733398584649,740
0.09546266600955278,739
0.1267387910047546,738
0.0802482920116745,737
0.0836208330001682,736
0.08810216700658202,735
0.08844816702185199,734
0.08588766702450812,733
0.08444975002203137,732
0.10080416704295203,731
0.10506258299574256,730
0.08927512500667945,729
0.12320587498834357,728
0.08521983301034197,727
0.09266699996078387,726
0.09210233297199011,725
0.08562858396908268,724
0.07886541698826477,723
0.08403737499611452,722
0.09710104099940509,721
0.09225366701139137,720
0.08930833300109953,719
0.08139820903306827,718
0.08456779195694253,717
0.08045233302982524,716
0.08684383402578533,715
0.08798183302860707,714
0.07831866695778444,713
0.08563983399653807,712
0.08405845798552036,711
0.09498666698345914,710
0.09937966702273116,709
0.0907578329788521,708
0.08326629200018942,707
0.08978395897429436,706
0.08661191602004692,705
0.09492220898391679,704
0.08838208299130201,703
0.08655587502289563,702
0.10398079099832103,701
0.09714279201580212,700
0.08395816601114348,699
0.09420450002653524,698
0.08685070904903114,697
0.09911512502003461,696
0.0973073749919422,695
0.08602849999442697,694
0.09365250001428649,693
0.09094424999784678,692
0.08538545900955796,691
0.07857070799218491,690
0.07993066700873896,689
0.08892424998339266,688
0.10596787498798221,687
0.1173941669985652,686
0.10633583302842453,685
0.08478700002888218,684
0.09801104199141264,683
0.07764724997105077,682
0.08944737503770739,681
0.08552362502086908,680
0.09703862498281524,679
0.07815241703065112,678
0.09221579099539667,677
0.09449629101436585,676
0.08917724998900667,675
0.08544541703304276,674
0.08657537499675527,673
0.10071591701125726,672
0.09491300000809133,671
0.12299987499136478,670
0.08576920797349885,669
0.08499312499770895,668
0.07518874999368563,667
0.09453825000673532,666
0.10783166700275615,665
0.0901282909908332,664
0.0798303330084309,663
0.08625975000904873,662
0.14311795798130333,661
0.09202162496512756,660
0.09523566701682284,659
0.08601100003579631,658
0.11547429201891646,657
0.083369166997727,656
0.10725979204289615,655
0.08957687497604638,654
0.0811513329972513,653
0.0806475420249626,652
0.08918079198338091,651
0.08327712496975437,650
0.09032912499969825,649
0.09115024999482557,648
0.09665312495781109,647
0.11278762499568984,646
0.07486516697099432,645
0.09701037500053644,644
0.08716754202032462,643
0.08791537501383573,642
0.07495158299570903,641
0.15069329203106463,640
0.08138516696635634,639
0.08496895799180493,638
0.09486324997851625,637
0.07666600000811741,636
0.09720045805443078,635
0.09187674999702722,634
0.082788833999075,633
0.08553658297751099,632
0.08230862504569814,631
0.1083495409693569,630
0.1459935000166297,629
0.08790254197083414,628
0.08165195799665526,627
0.08940966601949185,626
0.08649033302208409,625
0.08496066700899974,624
0.07993883400922641,623
0.0926929580164142,622
0.08011470799101517,621
0.08365174999926239,620
0.08427137503167614,619
0.0990349170169793,618
0.07987162499921396,617
0.08553700003540143,616
0.0797202920075506,615
0.07965145900379866,614
0.08417179097887129,613
0.08106329198926687,612
0.09731241600820795,611
0.08477216702885926,610
0.08565008401637897,609
0.08538958401186392,608
0.08517179201589897,607
0.07918991701444611,606
0.08913683297578245,605
0.08842350001214072,604
0.09709250001469627,603
0.09687691600993276,602
0.09323470800882205,601
0.1499938330380246,600
0.11180704197613522,599
0.13069920800626278,598
0.07694720797007903,597
0.10190379101550207,596
0.08288050000555813,595
0.09568500000750646,594
0.09250862500630319,593
0.09128920902730897,592
0.15714970894623548,591
0.08702499995706603,590
0.08751300000585616,589
0.09096295799827203,588
0.08522395801264793,587
0.08280191698577255,586
