Latency,Length of Numbers
0.057013917015865445,1
0.04024674999527633,2
0.041447624971624464,3
0.04074008302995935,4
0.0395360830007121,5
0.10309424996376038,6
0.043184249952901155,7
0.03955804096767679,8
0.039963250048458576,9
0.05026358301984146,10
0.04086504096630961,11
0.04643604200100526,12
0.04159929201705381,13
0.043268583016470075,14
0.03988058399409056,15
0.041160791006404907,16
0.04038920800667256,17
0.04531470802612603,18
0.03973608301021159,19
0.045388041995465755,20
0.04428724996978417,21
0.04647037503309548,22
0.049096709000878036,23
0.04512479197001085,24
0.04027150000911206,25
0.039423084002919495,26
0.04115033301059157,27
0.04067083401605487,28
0.04058337496826425,29
0.04613445798167959,30
0.05150079197483137,31
0.04384679096983746,32
0.039824833045713603,33
0.040892999968491495,34
0.04344062495511025,35
0.042204583005513996,36
0.047298958990722895,37
0.03859937499510124,38
0.04160749999573454,39
0.041647582955192775,40
0.044685583969112486,41
0.046606792020611465,42
0.051663750025909394,43
0.04274837503908202,44
0.046546207973733544,45
0.04908445803448558,46
0.05459679098566994,47
0.05074204195989296,48
0.04347949998918921,49
0.04099029197823256,50
0.044924542016815394,51
0.04182104201754555,52
0.03835599997546524,53
0.04721754102502018,54
0.04222012497484684,55
0.04446791601367295,56
0.04255912499502301,57
0.04607033298816532,58
0.040346042020246387,59
0.04003754095174372,60
0.04360249999444932,61
0.044810833991505206,62
0.04490475001512095,63
0.04213104100199416,64
0.04613641701871529,65
0.04115970904240385,66
0.043342540971934795,67
0.05469879199517891,68
0.044050625001545995,69
0.04423133301315829,70
0.04317337501561269,71
0.04596045799553394,72
0.04518841695971787,73
0.04539316694717854,74
0.04976841696770862,75
0.04371499997796491,76
0.04484816698823124,77
0.04149220901308581,78
0.0402187499566935,79
0.04269133397610858,80
0.04209762503160164,81
0.04170450003584847,82
0.04553004098124802,83
0.0438818329712376,84
0.04242595797404647,85
0.04026824998436496,86
0.041119583998806775,87
0.04502979200333357,88
0.0469337499816902,89
0.04168816702440381,90
0.05451970803551376,91
0.049897124990820885,92
0.044271749968174845,93
0.046169875015039,94
0.04503970802761614,95
0.044485249964054674,96
0.041682332986965775,97
0.050998082966543734,98
0.045621083001606166,99
0.0470302079920657,100
0.041008584026712924,101
0.040972041024360806,102
0.039983666967600584,103
0.043949374987278134,104
0.03964600001927465,105
0.04006708302767947,106
0.04027233400847763,107
0.042081583000253886,108
0.046603834023699164,109
0.0405343750026077,110
0.03877441701479256,111
0.03950012498535216,112
0.04294075001962483,113
0.04420033300993964,114
0.05075962498085573,115
0.04297995800152421,116
0.03905658301664516,117
0.04572108300635591,118
0.04255595797440037,119
0.04139145801309496,120
0.040695915988180786,121
0.04865454201353714,122
0.04240141698392108,123
0.04163041600259021,124
0.04104591702343896,125
0.043562374950852245,126
0.05309137498261407,127
0.047023165971040726,128
0.05001133301993832,129
0.06389112496981397,130
0.044055209029465914,131
0.04475125001044944,132
0.03875820798566565,133
0.04059587500523776,134
0.042012292018625885,135
0.049226249975617975,136
0.040086458961013705,137
0.04424941603792831,138
0.041198500024620444,139
0.045974957989528775,140
0.050374209007713944,141
0.04318391700508073,142
0.042501666001044214,143
0.04531870799837634,144
0.04382845899090171,145
0.041367541009094566,146
0.04157487500924617,147
0.04311504197539762,148
0.03989233396714553,149
0.04404554201755673,150
0.040467375016305596,151
0.04001933301333338,152
0.04757158301072195,153
0.05028554197633639,154
0.04335208400152624,155
0.03889974998310208,156
0.040139874967280775,157
0.04484966699965298,158
0.04060408298391849,159
0.043071333959233016,160
0.04218662501079962,161
0.04123737500049174,162
0.04046087502501905,163
0.040439500007778406,164
0.03819824999663979,165
0.04240191704593599,166
0.04221275000600144,167
0.03987908398266882,168
0.041388499957975,169
