Latency,Length of Numbers
0.055194999964442104,1000
0.0537518750061281,999
0.04887570801656693,998
0.04653679102193564,997
0.0456194169819355,996
0.0428284159861505,995
0.051228958007413894,994
0.04414125002222136,993
0.04530437500216067,992
0.04251050000311807,991
0.05187995795859024,990
0.05778074997942895,989
0.046519291994627565,988
0.04644462501164526,987
0.05019166599959135,986
0.04764704196713865,985
0.049730250029824674,984
0.06125070794951171,983
0.050370083015877753,982
0.05541937501402572,981
0.048682167020160705,980
0.050649666984099895,979
0.04763275000732392,978
0.04559299995889887,977
0.04580879199784249,976
0.046028500015381724,975
0.045756166044157,974
0.04817341599846259,973
0.04934454202884808,972
0.0446122910361737,971
0.044983542000409216,970
0.04662450001342222,969
0.04443091701250523,968
0.04416420799680054,967
0.05050062504597008,966
0.042065582994837314,965
0.04958904202794656,964
0.046846041979733855,963
0.044421666010748595,962
0.0491885410156101,961
0.0481441660085693,960
0.051790750003419816,959
0.05339825002010912,958
0.04912825004430488,957
0.0450378330424428,956
0.04598291602451354,955
0.04713470896240324,954
0.043521500017959625,953
0.040266791998874396,952
0.04968095902586356,951
0.04453358304454014,950
0.04237941704923287,949
0.0450004999875091,948
0.0470408329856582,947
0.046182541991584,946
0.04445691697765142,945
0.04518600000301376,944
0.04886499996064231,943
0.04552058404078707,942
0.048138042038772255,941
0.04326720803510398,940
0.04749691701726988,939
0.04708024999126792,938
0.04357504198560491,937
0.04404725000495091,936
0.04536158300470561,935
0.0447014169767499,934
0.041980666981544346,933
0.04323558398755267,932
0.046609750017523766,931
0.04459708399372175,930
0.04728950001299381,929
0.044085250003263354,928
0.04667133296607062,927
0.04656695801531896,926
0.04594699997687712,925
0.04273245797958225,924
0.04484137496910989,923
0.04436699999496341,922
0.0557937910198234,921
0.05846433399710804,920
0.04507929098326713,919
0.042240292008500546,918
0.04833004099782556,917
0.04631945805158466,916
0.04532770800869912,915
0.043208374991081655,914
0.0444356250227429,913
0.04753254202660173,912
0.05185816698940471,911
0.050799208984244615,910
0.04469925002194941,909
0.04263541696127504,908
0.042624082998372614,907
0.045116459019482136,906
0.04563741700258106,905
0.04996783297974616,904
0.04833062499528751,903
0.04582349996780977,902
0.04478133301017806,901
0.045846416032873094,900
0.04667641699779779,899
0.04891787498490885,898
0.04835329198976979,897
0.051937666023150086,896
0.05508287501288578,895
0.04964149999432266,894
0.048489624983631074,893
0.04520175000652671,892
0.0430184580036439,891
0.04826800001319498,890
0.046060791006311774,889
0.04567054199287668,888
0.05313962500076741,887
0.04519891698146239,886
0.04817066702526063,885
0.04985704197315499,884
0.04881091701099649,883
0.05144666600972414,882
0.044880791974719614,881
0.05394620803417638,880
0.04761058301664889,879
0.060037916991859674,878
0.05212508398108184,877
0.04962037497898564,876
0.048920625005848706,875
0.0490407079923898,874
0.04875437502050772,873
