Latency,Length of Numbers
0.1724501249846071,1
0.09930925001390278,2
0.10597383294953033,3
0.0921367080300115,4
0.09423675003927201,5
0.10145487496629357,6
0.09924650000175461,7
0.1056767079862766,8
0.08678574999794364,9
0.14371454197680578,10
0.09511029103305191,11
0.09357608394930139,12
0.0809172079898417,13
0.084722374973353,14
0.07433104200754315,15
0.08511516597354785,16
0.08651649998500943,17
0.09266266704071313,18
0.10797804204048589,19
0.09363295795628801,20
0.11430141696473584,21
0.08206766698276624,22
0.07164954103063792,23
0.09286095795687288,24
0.08460179099347442,25
0.08176337502663955,26
0.08328966703265905,27
0.09272358298767358,28
0.0795724589843303,29
0.07557754102163017,30
0.0770142920082435,31
0.07467845903011039,32
0.07822358299745247,33
0.0823106249445118,34
0.14441666600760072,35
0.08246479200897738,36
0.0814667500089854,37
0.08916729100747034,38
0.08228475000942126,39
0.07991387497168034,40
0.09271879098378122,41
0.0818740000249818,42
0.07791016704868525,43
0.08530520799104124,44
0.08332312502898276,45
0.08029291697312146,46
0.08462379197590053,47
0.08031424996443093,48
0.08043608401203528,49
0.08290370798204094,50
0.08057487499900162,51
0.10092829202767462,52
0.08741183299571276,53
0.0787471670191735,54
0.07826762500917539,55
0.08523020800203085,56
0.07977191696409136,57
0.07932891702512279,58
0.08006233302876353,59
0.07533479196717963,60
0.08843487501144409,61
0.10648650000803173,62
0.07894204201875255,63
0.08233449998078868,64
0.07675591600127518,65
0.08390674996189773,66
0.08217825001338497,67
0.08551783399889246,68
0.09245933400234208,69
0.1001569590298459,70
0.07747912500053644,71
0.083424125041347,72
0.1338694579899311,73
0.08139958296669647,74
0.08134516602149233,75
0.08416383300209418,76
0.0758664999739267,77
0.0864489590167068,78
0.08994616696145386,79
0.0764964580303058,80
0.0779272920335643,81
0.07928237499436364,82
0.09406954201404005,83
0.08792887500021607,84
0.10137466696323827,85
0.09184374997857958,86
0.08631012501427904,87
0.08763529203133658,88
0.07313879195135087,89
0.08315662498353049,90
0.07455733401002362,91
0.08773404097883031,92
0.09755962499184534,93
0.09005320799769834,94
0.07992812496377155,95
0.08153750002384186,96
0.10790458403062075,97
0.08681370900012553,98
0.07578204199671745,99
